verdict,lake,lake_id,waterbody_id,field,repo_value,alberta_value,note
fill,Mound Red Reservoir,wb6737,6737,max_depth_m,,15,
fill,Muir Lake,wb5387,5387,max_depth_m,,6,
fill,Niemela Reservoir (Ray's Pond),wb6735,6735,max_depth_m,,13,
fill,North Two Lake,wb6535,6535,max_depth_m,,5.3,
fill,Nose Creek Pond,wb6671,6671,max_depth_m,,5.4,
fill,Obed Lake,wb5466,5466,max_depth_m,,7,
fill,Open Creek Reservoir,wb6726,6726,max_depth_m,,11,
fill,Outpost Lake (Police Lake),wb5504,5504,max_depth_m,,4,
fill,Peanut Lake,wb5538,5538,max_depth_m,,10.5,
fill,Petite Lake,wb5565,5565,max_depth_m,,4,
fill,Phillipps Lake (Summit),wb5568,5568,max_depth_m,,13,
fill,Phyllis Lake,wb5569,5569,max_depth_m,,6.9,
fill,Pierre Greys Lakes (Middle) #2,wb6533,6533,max_depth_m,,6,
fill,Pit 24 Lake,wb23789,23789,max_depth_m,,4,
fill,Pit 35 Lake,wb23790,23790,max_depth_m,,4,
fill,Pit 44 Lake,wb24312,24312,max_depth_m,,4,
fill,Rainbow Lake Pond,wb6705,6705,max_depth_m,,6,
fill,Rainbow Park Pond (Westlock Recreation Pond),wb6613,6613,max_depth_m,,4.9,
fill,Reesor Lake,wb5661,5661,max_depth_m,,5,
fill,Rocky Children's Pond,wb3485,3485,max_depth_m,,2.7,
fill,Salter's Lake,wb5729,5729,max_depth_m,,5,
fill,Sardine Lake,wb6695,6695,max_depth_m,,7.6,
fill,Severn Creek Reservoir,wb6697,6697,max_depth_m,,7,
fill,Shemeluk Lake,wb6699,6699,max_depth_m,,7.6,
fill,Spring (Cottage) Lake,wb5874,5874,max_depth_m,,9.1,
fill,Spruce Coulee Reservoir,wb3534,3534,max_depth_m,,5,
fill,St. Paul Fish Pond,wb24702,24702,max_depth_m,,8,
fill,Star Lake,wb5895,5895,max_depth_m,,7.6,
fill,Texaco East Pond,wb6636,6636,max_depth_m,,6,
fill,Trapper Lake,wb6638,6638,max_depth_m,,12,
fill,Vegreville Trout Pond,wb6620,6620,max_depth_m,,3,
fill,Weberville Pond,wb6609,6609,max_depth_m,,4,
fill,Whitecourt Town Pond,wb21137,21137,max_depth_m,,6,
fill,Wildhorse Lakes (Upper Wildhorse Lake),wb6160,6160,max_depth_m,,5,
fill,Wildwood Pond (Stones Pond),wb6625,6625,max_depth_m,,6,
fill,Boulder Lake,lk0006,417506,published_waterbody_id,,417506,NE18-39-27-W4 identifies one lake on each side; the map calls it 'Boulder Lake' (1.00)
fill,Corner Lake,lk0007,6859,published_waterbody_id,,6859,NW4-6-20-W4 identifies one lake on each side; the map calls it 'Corner Lake' (1.00)
fill,Elk Point Pond,lk0008,417505,published_waterbody_id,,417505,NW36-56-7-W4 identifies one lake on each side; the map calls it 'Elk Point Pond' (1.00)
fill,Goodwin Reservoir,lk0010,317177,published_waterbody_id,,317177,NW5-22-2-W5 identifies one lake on each side; the map calls it 'Goodwin Reservoir' (1.00)
fill,Kinglet Lake,lk0011,6654,published_waterbody_id,,6654,NW35-35-18-W5 identifies one lake on each side; the map calls it 'Kinglet Lake' (1.00)
fill,Rawson Lake,lk0009,5649,published_waterbody_id,,5649,SW11-19-9-W5 identifies one lake on each side; the map calls it 'Rawson Lake' (1.00)
fill,Unnamed Fort Saskatchewan Fish & Game Pond,lk0013,23094,published_waterbody_id,,23094,NE6-54-20-W4 identifies one lake on each side; the map calls it 'Fort Saskatchewan Fish & Game Pond' (0.95)
fill,Watridge Lake,lk0012,6120,published_waterbody_id,,6120,SW11-22-11-W5 identifies one lake on each side; the map calls it 'Watridge Lake' (1.00)
fill,Acadia Valley Reservoir,wb6900,6900,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Alford Lake,wb3899,3899,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Allison Lake (Chinook Lake),wb6902,6902,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Allstones Lake,wb3909,3909,stocked_years,,2021 2023 2025,
fill,Anderson Dam,wb17894,17894,stocked_years,,2021 2023 2024 2025,
fill,Ardmore Community Pond,wb21353,21353,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Ashland Reservoir,wb6903,6903,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Aster Lake,wb3948,3948,stocked_years,,2021 2025,
fill,Atlantic Richfield Reservoir,wb6904,6904,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Bashaw Pond,wb6905,6905,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Bathing Lake,wb6892,6892,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Bear Pond,wb4005,4005,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Beaumont Pond,wb6893,6893,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Beauvais Lake,wb4011,4011,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Beaver Lake,wb4014,4014,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Beaver Mines Lake,wb4018,4018,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Bellis Beach Lake,wb6894,6894,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Big Iron Lake,wb6897,6897,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Birch Lake,wb4061,4061,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Black Nugget Mine Pit,wb6923,6923,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Blood Indian Creek Reservoir,wb3494,3494,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Bonnyville Town Pond (Slawuta Lake),wb6890,6890,stocked_years,,2021 2022 2023 2024 2026,
fill,Bow City East Ponds,wb6882,6882,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Boyle Pond,wb6884,6884,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Brazeau Borrow Pit #1,wb6921,6921,stocked_years,,2021 2022 2023,
fill,Brazeau Borrow Pit #2,wb6922,6922,stocked_years,,2021 2022 2023,
fill,Brooks Aquaduct Pond,wb6873,6873,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Bud Miller Park Pond,wb6876,6876,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Bullshead Reservoir (Bullshead Creek Reservoir),wb6878,6878,stocked_years,,2026,
fill,Burmis Lake,wb6879,6879,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Burn's Reservoir,wb6880,6880,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Burns Lake,wb4159,4159,stocked_years,,2021,
fill,Burstall Lake (Lower),wb6525,6525,stocked_years,,2021 2025,
fill,Burstall Lake (Upper),wb4167,4167,stocked_years,,2021 2025,
fill,Butcher's Lake,wb4171,4171,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,By the Lake Park,wb6614,6614,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Camp 9 Trout Pond,wb21332,21332,stocked_years,,2021 2022 2023 2024,
fill,Captain Eyre (Ayre) Lake,wb4208,4208,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Cardiff Park Pond,wb6868,6868,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Carnarvon Lake,wb4221,4221,stocked_years,,2021,
fill,Castaway Trout Pond,wb20258,20258,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Castor Eastside Trout Pond,wb18022,18022,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Cavan Lake,wb4231,4231,stocked_years,,2025,
fill,Cecil Thompson Pond,wb6778,6778,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Chain Lakes (Lower Chain Lake),wb6528,6528,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Chain Lakes Reservoir,wb3499,3499,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Champion Lakes (Lower),wb6608,6608,stocked_years,,2021 2022 2023 2025 2026,
fill,Champion Lakes (Upper Champion Lake),wb6607,6607,stocked_years,,2021 2022 2023 2025 2026,
fill,Chatwin Lake,wb4252,4252,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Chickakoo Lake (Chickako Lake),wb4261,4261,stocked_years,,2021 2022 2023,
fill,Chrystina (Windy) Lake,wb6860,6860,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Cipperley'S Reservoir,wb6861,6861,stocked_years,,2021 2022 2023 2024 2026,
fill,Claude N Bernnan Memorial Pond (Vermillion Park Pond),wb6082,6082,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Coleman Fish and Game Pond (McGillivray),wb6858,6858,stocked_years,,2021 2022 2023 2025,
fill,Commonwealth Lake (Birdwood Lake),wb4318,4318,stocked_years,,2021 2025,
fill,Coronation Reservoir,wb6845,6845,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,County Sportsplex Pond,wb417477,417477,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Cow Lake,wb4340,4340,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Crossfield Trout Pond,wb23293,23293,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Crowsnest Lake,wb4374,4374,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Cummings Lake,wb6850,6850,stocked_years,,2024 2026,
fill,Dandurand Lake,wb6659,6659,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Daysland Pond,wb6852,6852,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Dewitt's Pond,wb6853,6853,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Dickson Trout Pond,wb6844,6844,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Dillberry Lake,wb4446,4446,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Diplomat Mine Pond,wb6833,6833,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Dolberg Lake,wb4458,4458,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Dormer Lake,wb6836,6836,stocked_years,,2022,
fill,Dunn Lake,wb4488,4488,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Eagle Lake,wb4495,4495,stocked_years,,2021 2023 2025,
fill,East Dollar Lake,wb4460,4460,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,East Pit Lake,wb6840,6840,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,East Stormwater Pond,wb22993,22993,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,East Twin Lake,wb6044,6044,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Echo Dale Regional Park Pond,wb6842,6842,stocked_years,,2021 2024,
fill,Edith Lake,wb4505,4505,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Elk Creek Pond,wb6820,6820,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Emerald Lake,wb6821,6821,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Emerson Lakes,wb4535,4535,stocked_years,,2021 2022 2023 2024 2026,
fill,Emerson Lakes,wb6822,6822,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Enchant Park Pond,wb6823,6823,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Engstrom Lake,wb4539,4539,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Entry Lake,wb6662,6662,stocked_years,,2021 2025,
fill,Fairfax Lake,wb4562,4562,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Fairview College Pond,wb6825,6825,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Fiesta Lake,wb24364,24364,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Figure Eight Lake,wb6827,6827,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Footner Pond,wb6830,6830,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Foremost Reservoir,wb6831,6831,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Fortress Lake,wb4614,4614,stocked_years,,2021,
fill,Fox Creek Trout Pond,wb6815,6815,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Galatea Lakes (Lower Galatea Lake),wb4642,4642,stocked_years,,2021,
fill,Gap Lake,wb4647,4647,stocked_years,,2022 2025,
fill,Genesee Trout Pond,wb23292,23292,stocked_years,,2021 2022 2023 2024 2025,
fill,Gibbons Park Pond,wb6816,6816,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Goldeye Lake,wb4697,4697,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Goldspring Park Pond,wb6818,6818,stocked_years,,2021 2022 2023 2024 2026,
fill,Gooseberry Park Pond,wb6809,6809,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Grande Cache Lake,wb4725,4725,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Granum Pond,wb6810,6810,stocked_years,,2021 2022 2023 2025 2026,
fill,Grotto Mountain Pond,wb3476,3476,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Hansen's Reservoir,wb6806,6806,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Harleck Pond,wb6808,6808,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Hasse Lake,wb4794,4794,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Headwall Lakes (Lower Headwall Lake),wb6530,6530,stocked_years,,2021,
fill,Headwall Lakes (Upper Headwall Lake),wb4806,4806,stocked_years,,2021,
fill,Helmer Reservoir,wb6803,6803,stocked_years,,2021 2022 2023 2025 2026,
fill,Heritage Pond,wb6790,6790,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Hermitage Lake,wb6791,6791,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,High Level Community Park Pond (High Level Town Pond),wb26431,26431,stocked_years,,2021 2025 2026,
fill,Highway 40 Pond,wb6794,6794,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Highway 63 Pond,wb6668,6668,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Highway 686 Pond,wb6795,6795,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Hiller's (Dam) Reservoir,wb6796,6796,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Hinton Fish and Game Pond (Cold Creek Trout Pond),wb6917,6917,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Hogarth Lakes (Lower),wb6541,6541,stocked_years,,2021 2025,
fill,Hogarth Lakes (Upper Hogarth Lake),wb4837,4837,stocked_years,,2021 2025,
fill,Horseshoe Lake,wb6669,6669,stocked_years,,2022 2024 2026,
fill,Huber Reservoir,wb6780,6780,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Ice Lake,wb4888,4888,stocked_years,,2021,
fill,Innisfree Trout Pond,wb6784,6784,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Invincible Lake,wb4897,4897,stocked_years,,2021 2025,
fill,Irma Fish and Game Pond,wb6785,6785,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Ironside Pond,wb6786,6786,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Island Lake,wb4909,4909,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Jack Fish Lake,wb4920,4920,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Jane Lake,wb4935,4935,stocked_years,,2022 2025,
fill,Jarvis Creek Pond,wb6788,6788,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Jessie Lake,wb4944,4944,stocked_years,,2022 2025,
fill,Kakut Pond,wb26729,26729,stocked_years,,2021 2022 2023 2024 2025,
fill,Keenex Trout Pond,wb417476,417476,stocked_years,,2021,
fill,Kerbe's Pond,wb6770,6770,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Kids Can Catch Pond,wb26447,26447,stocked_years,,2021 2022 2024 2025 2026,
fill,Kinky Lake,wb5002,5002,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Kraft Winborne Pond,wb6773,6773,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Kramer Pond,wb6774,6774,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,La Crete Pond,wb20267,20267,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Lac La Biche Trout Pond,wb19760,19760,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Lacombe Park Pond,wb6776,6776,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Lake Of Falls,wb4564,4564,stocked_years,,2022 2025,
fill,Lake Of The Horns,wb4854,4854,stocked_years,,2021,
fill,Lambert Pond,wb3479,3479,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Lamont Pond,wb6655,6655,stocked_years,,2021 2022 2023 2024 2026,
fill,Landslide Lake,wb5029,5029,stocked_years,,2021 2023 2025,
fill,Lara Fish Pond,wb24053,24053,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Leduc Reservoir,wb6764,6764,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Lees Lake,wb5050,5050,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Legal Reservoir,wb6765,6765,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Len Thompson Pond,wb26322,26322,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Lillian Lake,wb5074,5074,stocked_years,,2021,
fill,Lilly Lake,wb5078,5078,stocked_years,,2021 2022 2023 2024 2025,
fill,Little Bear Lake (Hasse Lake),wb5093,5093,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Little Beaverdam Lake,wb6767,6767,stocked_years,,2022 2023 2024 2025 2026,
fill,Lloydminster Trout Pond,wb6760,6760,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Lodgepole Pond,wb395186,395186,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Loomis Lake,wb5149,5149,stocked_years,,2021,
fill,Lost Guide Lake,wb5158,5158,stocked_years,,2021,
fill,Lougheed Trout Pond,wb6761,6761,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Lovett Lake,wb6658,6658,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Lower Kananaskis Lake,wb5179,5179,stocked_years,,2022 2025 2026,
fill,Lower Smuts Lake,wb6605,6605,stocked_years,,2021 2025,
fill,Lower Wildhorse Lakes,wb6537,6537,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,MD Peace Pond #1,wb6721,6721,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Machesis Lake,wb6750,6750,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Margaret Lake,wb5223,5223,stocked_years,,2021 2022 2023 2025 2026,
fill,Marigold Lake,wb5232,5232,stocked_years,,2021 2022 2023 2024 2025,
fill,Mary Gregg Lake,wb5245,5245,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Maude Lake,wb5253,5253,stocked_years,,2021 2025,
fill,Mayan Lake,wb19525,19525,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,McClennan Reservoir,wb6753,6753,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,McLaren's Reservoir,wb6755,6755,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,McLean Pond,wb3522,3522,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,McLeod (Carson) Lake,wb5286,5286,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,McQuillan Reservoir,wb6757,6757,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,McVinnie Reservoir,wb6758,6758,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Md Peace Pond #2,wb22995,22995,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Medley River,wb2129,2129,stocked_years,,2022 2023 2024 2025,
fill,Memorial Lakes (West Memorial Lake),wb6610,6610,stocked_years,,2021,
fill,Michel Reservoir,wb3523,3523,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Michichi Reservoir,wb3524,3524,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Midway Reservoir,wb6741,6741,stocked_years,,2021 2023 2024 2025,
fill,Mile 07 Lake,wb6642,6642,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Millers Lake,wb5324,5324,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Mirror Reservoir,wb6746,6746,stocked_years,,2021 2022 2023,
fill,Mitchell Lake,wb5348,5348,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Mitchell Pond (Waskasoo Park Pond),wb6623,6623,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Mitford Pond,wb395196,395196,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Montagneuse (Stony) Lake,wb6684,6684,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Moonshine (Mirage) Lake,wb5360,5360,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Morinville Fish and Game Pond,wb6736,6736,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Mound Red Reservoir,wb6737,6737,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Mount Lorette Ponds,wb3482,3482,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Muir Lake,wb5387,5387,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Muskiki Lake,wb5407,5407,stocked_years,,2022 2023 2025 2026,
fill,Muskoseepi Pond,wb6730,6730,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Nardam Lake,wb6732,6732,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Nicholas Sheran Park Pond,wb6734,6734,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Niemela Reservoir (Ray's Pond),wb6735,6735,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Niton Lake,wb6647,6647,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Nordegg Borrow Pit (East),wb6914,6914,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Nordegg Borrow Pit (West),wb6915,6915,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,North Two Lake,wb6535,6535,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Nose Creek Pond,wb6671,6671,stocked_years,,2021 2023 2024 2025 2026,
fill,Nuggent Pond,wb6724,6724,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Obed Lake,wb5466,5466,stocked_years,,2021 2022 2023 2024 2025 2026,
fill,Obstruction Lakes,wb5467,5467,stocked_years,,2021 2025,
fill,Odlum Lake,wb18997,18997,stocked_years,,2021,
fill,Ole Lake,wb5476,5476,stocked_years,,2021 2022 2023 2024 2025 2026,
